"TIPO_PROMO","NOME_PROMO","ELEMENTO_PROMO","MISURA_PROMO","LISTA_ELEM_PROMO","MOV","TIPO_MOV","NOME_TIPO_MOV","NOME_MOV","ELEMENTO_MOV","MISURA_MOV","LISTA_ELEM_MOV","COL_TEST","COL_TEST_NUM","COL_DETT","COL_DETT_NUM","COL_CAMP","COL_CAMP_NUM","COL_PROM","COL_PROM_NUM","COL_CATE","COL_CATE_NUM"
MP,Sconto Percentuale Articolo MM,Real Product,Percentage Discount,Static,"13",BNFTS,Promo Benefits,Sconto Prodotto MM,Real Product,Percentage Discount,Static,SCONTO_GENERICO,15,SCONTO_GENERICO,41,ID_CAMP_GENERICA,22,ID_PROM_GENERICA,23,No Category,
XP,Sconto Taglio Prezzo Articolo,Real Product,Fixed Value Discount,Static,"50",BNFTS,Promo Benefits,Taglio Prezzo MM,Real Product,Fixed Value Discount,Static,SCONTO_MM_TP,36,SCONTO_MM_TP,84,ID_CAMP_SCONTO_MM_TP,82,ID_PROM_SCONTO_MM_TP,83,No Category,
MT,Sconto Percentuale Ticket MM,Ticket,Discount Ventilation Ticket,Static,"51",BNFTS,Promo Benefits,Sconto Ticket MM Ventilato,Ticket,Discount Ventilation Ticket,Static,SCONTO_MM_TICKET,38,SCONTO_MM_TICKET,90,ID_CAMP_SCONTO_MM_TICKET,88,ID_PROM_SCONTO_MM_TICKET,89,No Category,
ED,Scontro Perc. Transazione Dipendenti,Ticket,Discount Ventilation Ticket,Static,"55",BNFTS,Promo Benefits,Sconto Ticket MM Dipendenti,Ticket,Discount Ventilation Ticket,Static,SCONTO_VENTX_DIP,47,SCONTO_VENTX_DIP,117,ID_CAMP_SCONTO_VENTX_DIP,115,ID_PROM_SCONTO_VENTX_DIP,116,No Category,
VP,Promozione da Volantino in Percentuale,Real Product,Percentage Discount,Static,"61",BNFTS,Promo Benefits,Sconto MM da Volantino,Real Product,Value or Percentage Discount,Static,SCONTO_MM_VOL,46,SCONTO_MM_VOL,114,ID_CAMP_SCONTO_MM_VOL,112,ID_PROM_SCONTO_MM_VOL,113,No Category,
VV,Promozione da Volantino a Valore,Real Product,Fixed Value Discount,Static,"61",BNFTS,Promo Benefits,Sconto MM da Volantino,Real Product,Value or Percentage Discount,Static,SCONTO_MM_VOL,46,SCONTO_MM_VOL,114,ID_CAMP_SCONTO_MM_VOL,112,ID_PROM_SCONTO_MM_VOL,113,No Category,
DA,Deprezzati da Bollone a Valore,Real Product,Fixed Value Discount,Dynamic,"62",BNFTS,Promo Benefits,Sconto MM Bollone,Real Product,Value or Percentage Discount,Dynamic,SCONTO_MM_BOLLONE,40,SCONTO_MM_BOLLONE,96,ID_CAMP_SCONTO_MM_BOLLONE,94,ID_PROM_SCONTO_MM_BOLLONE,95,No Category,
DB,Deprezzati da Bollone in Percentuale,Real Product,Percentage Discount,Dynamic,"62",BNFTS,Promo Benefits,Sconto MM Bollone,Real Product,Value or Percentage Discount,Dynamic,SCONTO_MM_BOLLONE,40,SCONTO_MM_BOLLONE,96,ID_CAMP_SCONTO_MM_BOLLONE,94,ID_PROM_SCONTO_MM_BOLLONE,95,No Category,
DC,Direct Prodotti a Valore,Real Product,Fixed Value Discount,Static,"63",BNFTS,Promo Benefits,Sconto Direct Prodotti,Real Product,Value or Percentage Discount,Static,SCONTO_MM_DIR_PD,41,SCONTO_MM_DIR_PD,99,ID_CAMP_SCONTO_MM_DIR_PD,97,ID_PROM_SCONTO_MM_DIR_PD,98,No Category,
DD,Direct Prodotti in Percentuale,Real Product,Percentage Discount,Static,"63",BNFTS,Promo Benefits,Sconto Direct Prodotti,Real Product,Value or Percentage Discount,Static,SCONTO_MM_DIR_PD,41,SCONTO_MM_DIR_PD,99,ID_CAMP_SCONTO_MM_DIR_PD,97,ID_PROM_SCONTO_MM_DIR_PD,98,No Category,
